                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2516,                0.60894,                 1.0206,                0.92427,                0.83822,                0.88499,                0.50031,                 1.5407,                0.87657,                 1.1616,              9.902e-05,              9.902e-05,              9.902e-05
                     36,                 1.2388,                 0.6023,                 1.0208,                0.93051,                0.83232,                0.87976,                0.50156,                 1.5484,                0.88478,                 1.1595,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     37,                 1.2362,                0.60186,                 1.0171,                0.92856,                0.82934,                0.87898,                0.50494,                 1.5341,                0.86727,                 1.1586,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     38,                 1.2308,                0.58713,                   1.01,                 0.9128,                0.83304,                 0.8765,                0.50217,                 1.5476,                0.86745,                 1.1581,             8.1022e-05,             8.1022e-05,             8.1022e-05
                     39,                 1.2154,                0.58725,                 1.0112,                0.92109,                0.82636,                0.87706,                0.49982,                 1.5495,                0.85977,                 1.1683,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     40,                 1.2086,                0.57668,                 1.0071,                0.92456,                0.83404,                0.88636,                0.51596,                 1.5286,                0.85741,                 1.1614,             6.9023e-05,             6.9023e-05,             6.9023e-05
                     41,                 1.2026,                0.54352,                 1.0343,                0.92327,                0.83362,                0.88369,                0.51255,                 1.5241,                0.86267,                 1.1597,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     42,                 1.1972,                0.53239,                 1.0341,                0.91915,                0.81518,                0.87757,                0.50182,                 1.5507,                0.87093,                 1.1652,             5.7025e-05,             5.7025e-05,             5.7025e-05
                     43,                 1.1834,                0.52626,                 1.0279,                0.91877,                 0.8319,                0.88282,                0.50262,                 1.5547,                0.84615,                 1.1695,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     44,                 1.1699,                0.51554,                  1.021,                0.90567,                0.83155,                0.87236,                0.49809,                 1.5604,                0.87107,                 1.1716,             4.5026e-05,             4.5026e-05,             4.5026e-05
                     45,                 1.1642,                0.51409,                 1.0227,                0.91535,                0.82751,                0.86934,                0.49216,                 1.5701,                0.88167,                 1.1762,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     46,                 1.1589,                0.50642,                 1.0193,                0.92153,                 0.8284,                0.87522,                0.49834,                  1.559,                0.86426,                 1.1698,             3.3027e-05,             3.3027e-05,             3.3027e-05
                     47,                 1.1485,                0.50111,                 1.0183,                0.91406,                0.82523,                0.87191,                0.49869,                 1.5558,                0.87893,                 1.1665,             2.7028e-05,             2.7028e-05,             2.7028e-05
                     48,                 1.1437,                 0.4992,                 1.0156,                 0.9102,                 0.8321,                0.87337,                0.50187,                 1.5468,                 0.8745,                 1.1641,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     49,                 1.1397,                0.49847,                 1.0104,                0.90986,                0.83381,                0.87493,                0.50167,                  1.557,                0.87113,                 1.1692,             1.5029e-05,             1.5029e-05,             1.5029e-05
                     50,                 1.1354,                0.48987,                 1.0102,                0.92317,                0.82439,                0.87395,                 0.5008,                  1.551,                0.86679,                 1.1666,             9.0294e-06,             9.0294e-06,             9.0294e-06
